year,country_noc,medals,GDP
1992,ARG,1,16190.511
1992,AUS,27,30180.31
1992,AUT,23,38774.492
1992,BEL,3,36426.992
1992,BRA,3,10103.788
1992,CAN,24,33305.434
1992,CHN,54,1731.6572
1992,COL,1,8598.992
1992,ESP,23,28295.54
1992,ETH,3,598.9227
1992,FIN,12,29648.744
1992,FRA,37,34269.285
1992,GBR,20,30265.3
1992,GHA,1,2391.9868
1992,HUN,30,15929.822
1992,IRL,2,27746.637
1992,ITA,33,37407.11
1992,JAM,4,9128.912
1992,JPN,29,34048.785
1992,KEN,8,3455.4915
1992,KOR,30,14590.533
1992,LUX,2,77215.295
1992,MAR,3,4182.3667
1992,MEX,1,16950.371
1992,NAM,2,6758.1025
1992,NOR,27,44692.36
1992,NZL,11,26395.44
1992,PAK,1,3238.0278
1992,PER,1,5110.7373
1992,POL,19,10662.08
1992,ROU,18,10816.9795
1992,SUR,1,13831.015
1992,SWE,16,32953.617
1992,THA,1,8277.354
1992,TUR,6,12796.127
1992,USA,116,40707.29
1994,AUS,1,32051.494
1994,AUT,9,39435.21
1994,BLR,2,6458.2144
1994,CAN,13,34951.754
1994,CHN,3,2178.924
1994,FIN,6,30340.824
1994,FRA,5,34576.344
1994,GBR,2,32053.004
1994,ITA,20,37855.008
1994,JPN,5,34053.523
1994,KAZ,3,9126.256
1994,KOR,6,16698.275
1994,NOR,26,47728.44
1994,RUS,23,13880.465
1994,SWE,3,33110.824
1994,UKR,2,8934.775
1994,USA,12,42419.195
1994,UZB,1,2729.6377
1996,ARG,3,18031.549
1996,ARM,2,3105.953
1996,AUS,41,33787.0
1996,AUT,3,41319.375
1996,AZE,1,2985.3372
1996,BDI,1,880.3094
1996,BEL,6,38208.72
1996,BLR,15,5988.0396
1996,BRA,15,11224.399
1996,CAN,22,35744.137
1996,CHN,48,2602.0941000000003
1996,CZE,11,23756.979
1996,ECU,1,8487.086
1996,ESP,17,29690.355
1996,ETH,3,731.18463
1996,FIN,4,32548.016
1996,FRA,37,35546.582
1996,GBR,15,33538.473
1996,GEO,2,3740.4854
1996,HKG,1,34452.996
1996,HUN,21,16654.645
1996,IND,1,2218.8245
1996,IRL,4,34703.79
1996,ISR,1,27749.965
1996,ITA,35,39429.496
1996,JAM,6,9951.085
1996,JPN,14,35878.79
1996,KAZ,11,8726.538
1996,KEN,8,3455.1006
1996,KOR,27,19364.941
1996,LTU,1,11274.64
1996,MAR,2,4588.148
1996,MDA,2,5298.338
1996,MEX,1,16882.045
1996,MOZ,1,493.71027
1996,NAM,2,6426.38
1996,NOR,7,51678.38
1996,NZL,6,30312.664
1996,POL,17,13146.756
1996,ROU,19,12697.149
1996,RUS,63,12827.116
1996,SVK,3,14102.084
1996,SWE,8,34719.11
1996,THA,2,10453.39
1996,TTO,2,12350.437
1996,TUN,1,6561.2915
1996,TUR,6,14205.066
1996,UGA,1,1142.136
1996,UKR,22,7179.6777
1996,USA,99,44149.37
1996,UZB,2,2650.6096
1998,AUS,1,35990.387
1998,AUT,17,43597.89
1998,BEL,1,40252.47
1998,BLR,2,7293.9077
1998,CAN,14,38025.254
1998,CHN,8,3004.4272
1998,CZE,3,23597.307
1998,FIN,12,36293.39
1998,FRA,8,37409.395
1998,GBR,1,36192.48
1998,ITA,10,40844.746
1998,JPN,9,35588.625
1998,KAZ,2,8998.901
1998,KOR,6,19184.225
1998,NOR,25,55229.5
1998,RUS,18,12358.152
1998,SWE,3,37286.094
1998,UKR,1,6956.399
1998,USA,13,47050.996
2000,ARG,4,18524.81
2000,ARM,1,3921.8574
2000,AUS,58,38412.64
2000,AUT,3,46469.86
2000,AZE,3,3998.5205
2000,BEL,5,43024.14
2000,BLR,16,8053.1733
2000,BRA,12,11529.486
2000,CAN,14,41307.75
2000,CHN,52,3451.6792
2000,CMR,1,2937.992
2000,COL,1,9138.319
2000,CZE,8,24976.506
2000,ESP,11,34756.742
2000,EST,3,17765.207
2000,ETH,8,719.00446
2000,FIN,4,39894.195
2000,FRA,38,39355.07
2000,GBR,28,38645.336
2000,GEO,6,4919.232
2000,HUN,17,19408.922
2000,IND,1,2571.1497
2000,IRL,1,48441.7
2000,ISL,1,41530.516
2000,ISR,1,30476.393
2000,ITA,34,43053.934
2000,JAM,9,9496.543
2000,JPN,18,36323.094
2000,KAZ,7,10275.762
2000,KEN,7,3303.3264
2000,KGZ,1,3078.9092
2000,KOR,28,22963.639
2000,LTU,5,13846.684
2000,MAR,5,4771.347
2000,MDA,2,5004.6675
2000,MEX,6,19407.033
2000,MKD,1,10224.752
2000,MOZ,1,621.2493
2000,NOR,10,57473.184
2000,NZL,4,32728.273
2000,POL,14,16177.867
2000,QAT,1,79400.43
2000,ROU,26,12176.631
2000,RUS,87,14569.937
2000,SVK,5,15666.544
2000,SWE,12,40625.363
2000,THA,3,9791.8955
2000,TTO,2,16347.527
2000,TUR,5,15223.352
2000,UKR,23,7496.813
2000,USA,90,50169.855
2000,UZB,4,2967.6018
2002,AUS,2,39775.27
2002,AUT,17,47419.277
2002,BLR,1,8961.641
2002,CAN,17,42412.414
2002,CHN,8,4024.3557
2002,CZE,3,26289.627
2002,EST,3,20364.008
2002,FIN,7,41439.02
2002,FRA,11,40381.46
2002,GBR,2,40027.418
2002,ITA,13,43915.387
2002,JPN,2,36306.332
2002,KOR,4,25591.398
2002,NOR,24,58850.906
2002,POL,2,16727.34
2002,RUS,13,16175.098
2002,SWE,7,41870.258
2002,USA,32,50529.348
2004,ARG,6,17950.15
2004,AUS,50,41798.72
2004,AUT,7,48633.273
2004,AZE,5,5610.763
2004,BEL,3,45540.47
2004,BLR,12,10839.956
2004,BRA,10,12127.133
2004,CAN,12,43704.668
2004,CHN,60,4817.212
2004,CMR,1,3245.4958
2004,COL,2,9816.277
2004,CZE,9,28542.254
2004,DOM,1,9460.913
2004,EGY,5,8249.868
2004,ESP,20,37248.824
2004,EST,3,23691.152
2004,ETH,7,781.9135
2004,FIN,2,43724.965
2004,FRA,33,41265.125
2004,GBR,29,41853.477
2004,GEO,4,6632.8145
2004,HKG,1,40861.715
2004,HUN,17,23358.887
2004,IND,1,3037.0637
2004,ISR,2,29972.48
2004,ITA,32,44118.035
2004,JAM,5,10110.535
2004,JPN,37,37576.39
2004,KAZ,7,15254.546999999999
2004,KEN,7,3306.79
2004,KOR,29,27515.951
2004,LTU,3,19226.469
2004,MAR,3,5620.2886
2004,MEX,4,19017.754
2004,NOR,6,61068.63
2004,NZL,5,36461.46
2004,POL,10,18198.1
